,Futbol Sahasi,Acik Havuz,Spor Salonu,SNA,Hukuk Fakultesi,Muhendislik Fakultesi,Fen Fakultesi,HUMS Fakultesi,SGKM,CASE Fakultesi,ELC,Kutuphane,Rektorluk,OMER,Kisba,Henry Ford,M Yurdu,O Yurdu,P Yurdu,R Yurdu,Tenis Kortu,N Yurdu,L Yurdu,K Yurdu,H Yurdu,I Yurdu,J Yurdu,F Yurdu,E Yurdu,B Yurdu,C Yurdu,D Yurdu,Saglik Merkezi,A Yurdu,S Yurdu,T Yurdu,G Yurdu
Futbol Sahasi,1.0000,0.7300,0.0000,0.7000,0.6100,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Acik Havuz,0.7300,1.0000,0.0000,0.6310,0.5200,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Spor Salonu,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.3100,0.1600,0.4000,0.3100,0.3400,0.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SNA,0.7000,0.6310,0.0000,1.0000,0.8890,0.4000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hukuk Fakultesi,0.6100,0.5200,0.0000,0.8890,1.0000,0.4600,0.2800,0.2800,0.2500,0.1000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Muhendislik Fakultesi,0.1000,0.0100,0.0000,0.4000,0.4600,1.0000,0.6400,0.4900,0.1900,0.3100,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fen Fakultesi,0.0000,0.0000,0.0000,0.1600,0.2800,0.6400,1.0000,0.6400,0.3700,0.6400,0.3100,0.2800,0.1600,0.2500,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HUMS Fakultesi,0.0000,0.0000,0.2500,0.0000,0.2800,0.4900,0.6400,1.0000,0.7300,0.7600,0.6700,0.4900,0.3400,0.4600,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SGKM,0.0000,0.0000,0.3100,0.0000,0.2500,0.1900,0.3700,0.7300,1.0000,0.6400,0.7300,0.4300,0.2800,0.4000,0.2200,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASE Fakultesi,0.0000,0.0000,0.1600,0.0000,0.1000,0.0100,0.6400,0.7600,0.6400,1.0000,0.5500,0.6700,0.5200,0.6100,0.4600,0.1000,0.1000,0.2500,0.4000,0.5500,0.0000,0.1000,0.1000,0.0000,0.1000,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
