key,value
Futbol Sahasi,5000
Acik Havuz,5000
Spor Salonu,5000
SNA,5000
Hukuk Fakultesi,5000
Muhendislik Fakultesi,5000
Fen Fakultesi,5000
HUMS Fakultesi,5000
SGKM,5000
CASE Fakultesi,5000
ELC,5000
Kutuphane,5000
Rektorluk,5000
OMER,5000
Kisba,5000
Henry Ford,3000
M Yurdu,3000
O Yurdu,3000
P Yurdu,3000
R Yurdu,3000
Tenis Kortu,3000
N Yurdu,3000
L Yurdu,3000
K Yurdu,3000
H Yurdu,3000
I Yurdu,3000
J Yurdu,3000
F Yurdu,3000
E Yurdu,3000
B Yurdu,3000
C Yurdu,3000
D Yurdu,3000
Saglik Merkezi,3000
A Yurdu,3000
S Yurdu,3000
T Yurdu,3000
G Yurdu,3000
